username,follower_num,following_num,is_private,is_verified,has_clips,highlight_reel_count,is_business_account,edge_felix_video_timeline,edge_owner_to_timeline_media,username_len,fullname_len,bio_len,Digits_in_username,Number_of_nonalphabetic_in_fullname,Number_of_HashtagsMentions,Has_external_url,Has_business_category_name,Has_category_enum,Has_category_name
matteospedicati,5492,1573,False,False,True,10,False,1,620,15,16,0,0,0,0,True,False,False,False
ilovegattacicova,5982,1757,False,False,True,1,False,0,34,16,37,28,0,0,0,True,False,False,False
nikcecca,549,2384,False,False,True,1,False,0,36,8,12,0,0,0,0,False,False,False,False
maria.alibaba,1326,993,True,False,True,0,False,1,105,13,4,1,0,0,0,False,False,False,False
christian_brondoloni13,932,3299,False,False,True,1,False,5,262,22,35,139,2,0,3,True,False,False,False
anthomyke,898,988,False,False,True,2,False,0,5,9,17,21,0,0,0,True,False,False,False
silviavalesani,3486,2703,False,False,True,29,False,0,1461,14,15,72,0,0,1,False,False,False,False
wrgzm,303,36,False,False,False,0,False,0,72,5,8,0,0,0,0,False,False,False,False
stefanowobbly,316,883,True,False,True,0,False,6,211,13,21,0,0,0,0,False,False,False,False
gledissss_vinylcollector,682,960,False,False,True,4,False,0,55,24,17,135,0,0,1,False,False,False,False
deejayalexpaz,2830,1275,False,False,True,1,False,6,146,13,11,100,0,0,3,False,False,False,False
mariocristofalo,240,1511,False,False,False,0,True,0,82,15,16,80,0,0,1,False,True,True,True
sabrina.demitri,1086,910,False,False,True,17,True,10,185,15,16,112,0,0,0,True,True,True,True
nu_genea,108094,721,False,True,True,2,False,2,204,8,8,92,0,0,1,True,False,False,False
kauri_del_desierto,1962,2783,True,False,False,0,False,0,681,18,23,52,0,0,1,False,False,False,False
checca_malloz,1015,1115,False,False,True,6,False,0,590,13,13,0,0,0,0,False,False,False,False
simonebaronedj,755,822,False,False,True,22,False,0,427,14,13,29,0,0,0,False,False,False,False
mattia_nobu,744,404,False,False,True,2,False,0,100,11,11,17,0,0,0,False,False,False,False
_tokkye,215,1262,True,False,False,0,False,0,170,7,9,117,0,0,1,False,False,False,False
dar_tr86,551,926,False,False,True,3,False,0,37,8,12,0,2,0,0,False,False,False,False
arteagaphoto,772,835,False,False,True,0,False,3,186,12,12,44,0,0,1,False,False,False,False
pasquale16116,1829,1366,False,False,True,5,True,2,299,13,24,0,5,0,0,True,True,True,True
_cirene_,74,198,False,False,True,0,False,2,19,8,6,35,0,0,0,True,False,False,False
scarfacewproszku,47,133,False,False,True,2,False,0,0,16,6,0,0,0,0,False,False,False,False
thetropiki,1692,1739,False,False,True,2,True,12,298,10,7,75,0,0,1,True,True,True,True
ilchiano_,1044,442,False,False,True,0,False,2,341,9,9,100,0,0,1,False,False,False,False
discomediterranea,1479,1866,False,False,True,6,False,2,40,17,17,36,0,0,0,False,False,False,False
prabhusilvam,225,2029,True,False,False,0,False,0,135,12,13,0,0,0,0,False,False,False,False
sophiacacciari,1513,305,False,False,False,0,False,0,62,14,6,24,0,0,1,False,False,False,False
beans_by_dre,347,1542,True,False,False,0,False,0,62,12,0,7,0,0,0,False,False,False,False
iskra_silvia_11,630,3623,False,False,True,7,False,0,34,15,0,27,2,0,0,False,False,False,False
filippocarpenter,864,1320,True,False,False,0,False,0,126,16,17,0,0,0,0,False,False,False,False
yassine__hammar,1396,2483,False,False,True,0,False,2,98,15,15,150,0,0,6,True,False,False,False
scalo21,613,1202,True,False,False,0,False,0,33,7,0,0,2,0,0,False,False,False,False
buoninverno1982,3163,5717,False,False,False,0,False,0,318,15,27,149,4,0,3,True,False,False,False
tommaso_jena,1165,4059,False,False,True,5,False,0,429,12,21,0,0,0,0,False,False,False,False
menag71,1290,4162,False,False,True,57,False,9,18230,7,11,50,2,0,2,False,False,False,False
rabaman72,2244,6279,False,False,True,1,False,0,757,9,16,149,2,0,1,True,False,False,False
sgambellissima,328,1509,True,False,False,0,False,0,360,14,19,103,0,0,0,False,False,False,False
r.mtl.7,707,1871,True,False,False,0,False,0,76,7,7,29,1,0,0,False,False,False,False
danilo_halle,619,514,False,False,True,0,False,3,176,12,12,29,0,0,0,True,False,False,False
dariapacelli,1131,1678,True,False,False,0,False,0,443,12,13,122,0,0,2,True,False,False,False
jungle_jungle_,6600,1173,False,False,True,1,False,1,1312,14,6,53,0,0,2,False,False,False,False
insta_sukhraj,415,2671,False,False,False,0,False,0,48,13,13,51,0,0,0,False,False,False,False
caravaletiscrivo,171,213,True,False,False,0,False,0,6,16,7,0,0,0,0,False,False,False,False
b_r_a_d_i_,542,1049,True,False,True,0,False,1,470,10,7,19,0,0,0,False,False,False,False
chairmannnnnnn,351,2249,True,False,False,0,False,0,15,14,9,109,0,0,3,False,False,False,False
maurobaldakk,846,486,False,False,True,3,False,1,37,12,9,8,0,0,0,True,False,False,False
isyantirahamaya,2238,1315,False,False,True,33,False,2,249,15,22,37,0,0,0,False,False,False,False
mor_vener,1948,793,False,False,True,11,True,0,144,9,15,86,0,0,1,False,True,True,True
luce_______________,522,1950,True,False,False,0,False,0,1104,19,2,31,0,0,0,True,False,False,False
proscoo,2026,1930,False,False,True,93,False,2,1190,7,7,150,0,0,1,False,False,False,False
soulfatherforrest,746,323,False,False,True,2,True,0,37,17,29,140,0,0,0,False,True,True,True
ferrodolce,5549,876,False,False,True,0,True,1,361,10,10,144,0,0,1,True,True,True,True
booksquid,192,1400,False,False,False,0,False,0,339,9,11,62,0,0,0,False,False,False,False
eleonoramilella,16938,2999,False,False,True,62,False,2,1275,15,16,53,0,0,1,False,False,False,False
animasaid,560,1001,True,False,False,0,False,0,131,9,11,8,0,0,0,False,False,False,False
odeon_artists,2414,6062,False,False,False,0,True,0,104,13,13,95,0,0,5,False,True,True,True
marco.bandirali,979,1099,False,False,True,2,False,0,74,15,5,40,0,0,0,True,False,False,False
antonio.scaltrito,1158,1000,False,False,False,0,False,0,0,17,17,0,0,0,0,False,False,False,False
peppetosko,734,3427,True,False,False,0,False,0,233,10,8,0,0,0,0,False,False,False,False
bignickuk,580,1681,False,False,True,0,False,15,998,9,10,66,0,0,0,True,False,False,False
thepolarwalrus,1663,998,False,False,False,0,False,0,315,14,12,20,0,0,0,False,False,False,False
ulnobru,238,442,False,False,True,4,False,10,337,7,7,0,0,0,0,False,False,False,False
fabio_postoffice,4611,2377,False,False,True,2,False,3,387,16,13,126,0,0,0,False,False,False,False
khalil_bmr,547,705,False,False,True,12,False,0,93,10,18,79,0,0,0,False,False,False,False
vallantine,1649,7501,False,False,True,64,False,9,2021,10,10,22,0,0,0,False,False,False,False
chaseone2,1494,1995,True,False,False,0,False,0,500,9,11,150,1,0,2,True,False,False,False
bellicadf,788,378,False,False,True,5,False,3,372,9,22,22,0,0,0,False,False,False,False
_giuliamazzetto_,1541,1440,False,False,True,1,False,0,544,16,15,52,0,0,0,True,False,False,False
sipalatripiarchitetti,1074,722,False,False,True,2,True,0,93,21,23,104,0,0,4,True,True,True,True
pigna_of_legends,109,265,False,False,True,5,False,0,21,16,16,77,0,0,0,False,False,False,False
davi_________co,839,2137,True,False,True,0,False,1,90,15,12,53,0,0,0,False,False,False,False
tildamilla,622,1047,True,False,False,0,False,0,563,10,14,72,0,0,1,False,False,False,False
dailylaurel,1949,7458,False,False,True,2,False,8,2744,11,16,135,0,0,6,True,False,False,False
gracieusement,693,676,False,False,True,4,False,0,60,13,5,10,0,0,0,True,False,False,False
fiordalyso,508,602,True,False,False,0,False,0,69,10,15,85,0,0,0,False,False,False,False
flippoh_,126,488,True,False,False,0,False,0,47,8,13,39,0,0,0,True,False,False,False
ffrausss,767,1487,False,False,True,1,False,1,66,8,15,122,0,0,3,False,False,False,False
nicdaniele79,2226,1347,False,False,True,7,False,7,443,12,19,143,2,0,0,True,False,False,False
letmebackin,736,728,True,False,True,0,False,1,57,11,14,63,0,0,1,False,False,False,False
mrbizze,396,1118,True,False,False,0,False,0,57,7,9,29,0,0,0,False,False,False,False
sashaguryev,752,801,False,False,True,14,False,0,20,11,12,77,0,0,1,True,False,False,False
_ines_bk,316,3041,True,False,False,0,False,0,0,8,2,1,0,0,0,False,False,False,False
monchi.mp,1376,1203,False,False,True,5,True,0,12,9,5,14,0,0,0,True,True,True,True
elyn.official,1042,477,False,False,True,3,False,1,1337,13,13,108,0,0,0,True,False,False,False
arianna.galati,3679,3013,False,False,True,6,False,0,1036,14,14,115,0,0,1,True,False,False,False
mariobragalanti,585,2206,False,False,False,0,False,0,51,15,16,0,0,0,0,False,False,False,False
donpecuccio,591,801,False,False,False,0,False,0,84,11,15,0,0,0,0,False,False,False,False
jamesbeard_esq,1319,1622,False,False,True,7,False,0,3427,14,13,102,0,0,2,True,False,False,False
guglielmo_mascio,934,669,False,False,True,1,False,3,346,16,9,0,0,0,0,True,False,False,False
spadaro_giov,1511,1230,False,False,True,0,True,9,31,12,16,43,0,0,0,True,True,True,True
veronica_elena_berlingieri,1236,1785,True,False,False,0,False,0,1086,26,26,0,0,0,0,True,False,False,False
spicycigarettes,1213,1967,False,False,True,6,False,2,83,15,8,80,0,0,1,True,False,False,False
vaulx_music,815,3939,False,False,True,3,True,1,25,11,5,49,0,0,0,True,True,True,True
aaiaoia,1638,1413,False,False,True,10,False,6,27,7,8,23,0,0,0,False,False,False,False
andreapicarellaa,518,740,False,False,False,0,True,0,211,16,16,37,0,0,0,False,True,True,True
gianluca_vitiello_radio_deejay,37722,1367,False,False,True,1,True,19,1002,30,39,150,0,0,1,True,False,False,False
nancynoisedj,6990,936,False,False,True,13,False,27,1144,12,11,146,0,0,0,True,False,False,False
cristina_moschella,1262,1976,False,False,True,10,False,0,1076,18,18,57,0,0,1,True,False,False,False
giulia_guz,645,635,True,False,False,0,False,0,615,10,0,0,0,0,0,False,False,False,False
brunelle__,878,604,True,False,True,0,False,1,1223,10,5,82,0,0,3,False,False,False,False
gsal22,328,1727,True,False,False,0,False,0,20,6,11,0,2,0,0,False,False,False,False
youngcheriwa,325,668,True,False,False,0,False,0,14,12,14,0,0,0,0,False,False,False,False
djtennis,129837,3816,False,True,True,9,True,23,2844,8,9,10,0,0,0,True,True,True,True
gramigna_dj,935,830,True,False,True,0,False,273,858,11,8,0,0,0,0,True,False,False,False
quattrifolio1964,363,616,False,False,True,5,True,11,771,16,12,141,4,0,0,True,True,True,True
antonson_sa,655,1251,False,False,True,2,False,0,233,11,8,23,0,0,0,False,False,False,False
ezepazzelli,3023,2866,False,False,True,7,True,0,123,11,11,143,0,0,1,True,True,True,True
laura____ci,382,1081,True,False,False,0,False,0,440,11,10,0,0,0,0,False,False,False,False
the_blue_note_,198,247,False,False,False,0,False,0,8,14,15,40,0,0,1,False,False,False,False
katoelchamacodetoluca,637,511,False,False,True,0,False,2,208,21,16,16,0,0,0,False,False,False,False
wtf_attitude,2565,1814,False,False,True,15,False,7,1107,12,3,135,0,0,1,True,False,False,False
e.a.galvez,956,685,False,False,True,29,False,3,86,10,20,66,0,0,2,True,False,False,False
lauramspinelli,342,650,True,False,False,0,False,0,50,14,14,95,0,0,0,False,False,False,False
latenite79,1835,1773,False,False,True,5,False,0,264,10,10,56,2,0,0,True,False,False,False
nuqakaniama,255,499,True,False,False,0,False,0,351,11,5,4,0,0,0,False,False,False,False
joshjaskiewicz,596,1430,True,False,False,0,False,0,281,14,15,7,0,0,0,False,False,False,False
wild.cheyenne,727,1173,True,False,False,0,False,0,51,13,13,0,0,0,0,False,False,False,False
drin_drin87,400,863,True,False,False,0,False,0,529,11,17,0,2,0,0,False,False,False,False
tartelet_records,13925,4452,False,False,True,14,True,1,380,16,16,137,0,0,2,True,True,True,True
illtakeyouto,54164,981,False,False,True,9,False,5,289,12,11,45,0,0,0,False,False,False,False
